SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR039501	leaf	B73	base	1	m1	FALSE	6027767	36
SRR039502	leaf	B73	base	2	m1	FALSE	11622601	35
SRR039503	leaf	B73	-1cm	1	m2	FALSE	5518421	35
SRR039504	leaf	B73	-1cm	2	m2	FALSE	9228781	35
SRR039505	leaf	B73	4cm	1	m3	FALSE	13604831	35
SRR039506	leaf	B73	4cm	2	m3	FALSE	13250434	35
SRR039507	leaf	B73	tip	1	m4	FALSE	6770971	36
SRR039508	leaf	B73	tip	2	m4	FALSE	12516775	35
SRR039509	leaf	B73	mesophyll	1	m5	FALSE	10746494	36
SRR039510	leaf	B73	mesophyll	2	m5	FALSE	11036314	36
SRR039512	leaf	B73	bundle-sheath	1	m6	FALSE	9075105	35
SRR039514	leaf	B73	bundle-sheath	2	m6	FALSE	10794084	36
