SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
SRR3134928	root	P39		1	TRUE	17740715	202
SRR3134929	root	NC350		1	TRUE	20329067	202
SRR3134930	root	CML69		1	TRUE	20735858	202
SRR3134931	root	CML322		1	TRUE	21771747	202
SRR3134932	root	A5554		1	TRUE	22001140	202
SRR3134933	root	CML228		1	TRUE	21717275	202
SRR3134934	root	CML103		1	TRUE	21384202	202
SRR3134935	root	SC357		1	TRUE	19064966	202
SRR3134936	root	Ki44		1	TRUE	25293261	202
SRR3134937	root	H95		1	TRUE	9650777	202
SRR3134938	root	F2834T		1	TRUE	20956677	202
SRR3134939	root	CML277		1	TRUE	21364161	202
SRR3134940	root	B76		1	TRUE	21219880	202
SRR3134941	root	CML341		1	TRUE	21059785	202
SRR3134942	root	MS71		1	TRUE	21311601	202
SRR3134943	root	HP301		1	TRUE	20189046	202
SRR3134944	root	KY21		1	TRUE	22063716	202
SRR3134945	root	CML158Q		1	TRUE	34774055	202
SRR3134946	root	M162W		1	TRUE	36467314	202
SRR3134947	root	T2I16		1	TRUE	36985546	202
SRR3134948	root	CML157Q		1	TRUE	33489015	202
SRR3134949	root	IL14H		1	TRUE	58927945	202
SRR3134950	root	M37W		1	TRUE	37045683	202
SRR3134951	root	Ki3		1	TRUE	17764585	202
SRR3134952	root	TX303		1	TRUE	34165214	202
SRR3134953	root	NC360		1	TRUE	32755887	202
SRR3134954	root	W64A		1	TRUE	19123899	202
SRR3134955	root	B57		1	TRUE	22475453	202
SRR3134956	root	B73		1	TRUE	23279707	202
SRR3134957	root	NC358		1	TRUE	27611430	202
SRR3134958	root	MO17		1	TRUE	19451883	202
SRR3134959	root	H84		1	TRUE	16410341	202
SRR3134960	root	MO18W		1	TRUE	20009285	202
SRR3134961	root	HY		1	TRUE	19873377	202
SRR3134962	root	U267Y		1	TRUE	27262857	202
SRR3134963	root	CML311		1	TRUE	26391899	202
SRR3134964	root	F70NY2011		1	TRUE	19597458	202
SRR3134965	root	B97		1	TRUE	20731663	202
SRR3134966	root	CMl333		1	TRUE	20331155	202
SRR3134967	root	OH40B		1	TRUE	25100218	202
SRR3134968	root	TZi8		1	TRUE	24426258	202
SRR3134969	root	OH7B		1	TRUE	22185432	202
SRR3134970	root	NC260		1	TRUE	21486085	202
SRR3134971	root	W22		1	TRUE	21556800	202
SRR3134972	root	CML108		1	TRUE	20723354	202
SRR3134973	root	KY228		1	TRUE	20827384	202
SRR3134974	root	Ki11		1	TRUE	21084876	202
SRR3134975	root	OH43		1	TRUE	22430529	202
