SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR651049		B73		1	m01	TRUE	13399149	100
SRR651050		B73		2	m01	TRUE	14152930	100
SRR651051		B73		3	m01	TRUE	19270220	100
SRR651052		B97		1	m02	TRUE	13884840	100
SRR651053		CML103		1	m03	TRUE	17172512	100
SRR651054		CML228		1	m04	TRUE	13453936	100
SRR651055		CML247		1	m05	TRUE	14714190	100
SRR651056		CML277		1	m06	TRUE	16421326	100
SRR651057		CML322		1	m07	TRUE	12775245	100
SRR651058		CML333		1	m08	TRUE	16630744	100
SRR651059		CML52		1	m09	TRUE	16817165	100
SRR651060		Hp301		1	m10	TRUE	16861363	100
SRR651061		Il14h		1	m11	TRUE	12653042	100
SRR651062		Ki11		1	m12	TRUE	15273635	100
SRR651063		Ki11		2	m12	TRUE	11271601	100
SRR651064		Ki11		3	m12	TRUE	12018859	100
SRR651065		Ki3		1	m13	TRUE	14579133	100
SRR651066		M162w		1	m14	TRUE	16162782	100
SRR651067		M37w		1	m15	TRUE	17770712	100
SRR651068		M37w		2	m15	TRUE	16078002	100
SRR651069		Mo17		1	m16	TRUE	15801487	100
SRR651070		Mo17		2	m16	TRUE	17745280	100
SRR651071		Mo17		3	m16	TRUE	14336816	100
SRR651072		Mo18w		1	m17	TRUE	10285877	100
SRR651073		MS71		1	m18	TRUE	22338440	100
SRR651074		MS71		2	m18	TRUE	14688550	100
SRR651075		MS71		3	m18	TRUE	13968336	100
SRR651076		NC358		1	m19	TRUE	13260113	100
SRR651077		Oh43		1	m20	TRUE	11766590	100
SRR651078		Oh43		2	m20	TRUE	14922276	100
SRR651079		Oh7b		1	m21	TRUE	18200539	100
SRR651080		Oh7b		2	m21	TRUE	22855866	100
SRR651081		P39		1	m22	TRUE	21748449	100
SRR651082		Tx303		1	m23	TRUE	17474393	100
SRR651083		Tzi8		1	m24	TRUE	16202133	100
SRR651084		W22		1	m25	TRUE	11254201	100
SRR766776		B97		2	m02	TRUE	24503625	100
SRR766777		B97		3	m02	TRUE	25796328	100
SRR767675		CML103		2	m03	TRUE	20322950	100
SRR767678		Hp301		2	m10	TRUE	23492306	100
SRR767679		Hp301		3	m10	TRUE	25001232	100
SRR767680		Ky21		1	m26	TRUE	26260623	100
SRR767682		M37w		3	m15	TRUE	26066928	100
SRR767683		MR01		1	m27	TRUE	33293971	100
SRR767684		MR02		1	m28	TRUE	22701337	100
SRR767685		MR10		1	m29	TRUE	30073450	100
SRR767686		MR18		1	m30	TRUE	31043442	100
SRR767687		MR20		1	m31	TRUE	32141650	100
SRR767688		MR22		1	m32	TRUE	30555562	100
SRR767689		MR25		1	m33	TRUE	31394449	100
SRR767690		Oh7b		3	m21	TRUE	26354947	100
SRR767691		Oh43		3	m20	TRUE	27042424	100
SRR767692		TIL01		1	m34	TRUE	32746000	100
SRR767693		TIL06		1	m35	TRUE	33196714	100
SRR767694		TIL07		1	m36	TRUE	30048309	100
SRR767695		TIL09		1	m37	TRUE	34970995	100
SRR767696		TIL11		1	m38	TRUE	22214335	100
SRR767697		TIL14		1	m39	TRUE	21011623	100
SRR767698		TIL15		1	m40	TRUE	21884742	100
SRR767699		TIL16		1	m41	TRUE	24542055	100
SRR767700		TIL17		1	m42	TRUE	20940234	100
SRR767701		Tx303		2	m23	TRUE	26313196	100
SRR767702		Tx303		3	m23	TRUE	25230109	100
SRR767703		W64A		1	m43	TRUE	22014734	100
SRR767705		MR19		1	m44	TRUE	29427624	100
SRR767708		MR14		1	m45	TRUE	21719977	100
SRR767709		MR09		1	m46	TRUE	40668557	100
SRR767712		CML333		2	m08	TRUE	26377363	100
SRR767716		CML322		2	m07	TRUE	23053240	100
SRR767717		CML322		3	m07	TRUE	19471126	100
SRR767718		CML333		3	m08	TRUE	22182621	100
SRR767719		CML133		1	m47	TRUE	10108029	100
SRR767720		CML192		1	m48	TRUE	10236500	100
SRR767721		CML202		1	m49	TRUE	11140488	100
SRR767722		CML206		1	m50	TRUE	8787540	100
SRR767724		CML330		1	m51	TRUE	10488563	100
SRR767725		CML411		1	m52	TRUE	9508841	100
SRR767726		CML418		1	m53	TRUE	11665987	100
SRR767727		CML479		1	m54	TRUE	11395981	100
SRR767728		CML504		1	m55	TRUE	21361420	100
SRR767729		CML505		1	m56	TRUE	9919395	100
SRR767730		CML511		1	m57	TRUE	13937009	100
SRR767731		CML69		1	m58	TRUE	10055914	100
SRR767732		CML84		1	m59	TRUE	11429651	100
SRR767733		CML85		1	m60	TRUE	9299152	100
SRR767735		CML96		1	m61	TRUE	11902903	100
SRR767736		CML99		1	m62	TRUE	10235613	100
SRR767742		CML103		3	m03	TRUE	22059820	100
